Date,Open,High,Low,Close,Adj Close,Volume,stock
1985-01-02,11.11387538909912,11.161934852600098,10.90962028503418,10.90962028503418,5.498648166656494,279600.0,AA
1985-01-02,0.0,7.0,7.0,7.0,5.910651206970215,200.0,AAME
1985-01-02,1.296296238899231,1.314814805984497,1.296296238899231,1.296296238899231,-1.6178169758787232e+21,280800.0,AAN
1985-01-02,0.5200892686843872,0.5200892686843872,0.4977678656578064,0.4977678656578064,0.3944011628627777,43825600.0,AAPL
1985-01-02,58750.0,58750.0,55000.0,57500.0,52714.38671875,0.0,ABEO
1985-01-02,2.4375,2.4375,2.387500047683716,2.387500047683716,0.07026661187410355,105600.0,ABM
1985-01-02,1.1643366813659668,1.1643366813659668,1.1397874355316162,1.1397874355316162,0.023519065231084824,7531200.0,ABT
1985-01-02,9.875,10.0,9.875,9.875,5.859874248504639,5800.0,ACU
1985-01-02,2.984375,2.984375,2.875,2.875,1.9520831108093264,149800.0,ADI
1985-01-02,2.4723479747772217,2.488507032394409,2.407711267471313,2.407711267471313,1.339745283126831,1527200.0,ADM
1985-01-02,1.9207020998001096,1.9268978834152224,1.908310413360596,1.9207020998001096,1.0670475959777832,736300.0,ADP
1985-01-02,11.166666984558104,11.166666984558104,10.833333015441896,10.916666984558104,0.7461966872215271,21000.0,ADX
1985-01-02,3.25,3.25,3.25,3.25,2.055858373641968,2000.0,AE
1985-01-02,0.0,2.625,2.5,2.5,2.5,400.0,AEGN
1985-01-02,8.875,8.875,8.75,8.75,5.989124298095702,10900.0,AEM
1985-01-02,21.0,21.25,20.75,20.875,2.600029945373535,381400.0,AEP
1985-01-02,15.625,15.666666984558105,15.541666984558105,15.583333015441895,3.749011993408203,122700.0,AFG
1985-01-02,0.38749998807907104,0.39375001192092896,0.38749998807907104,0.3895833194255829,0.012343375012278557,1406400.0,AFL
1985-01-02,0.0,2.2962963581085205,2.222222328186035,2.222222328186035,1.6514558792114258,4200.0,AGYS
1985-01-02,57.20493698120117,57.20493698120117,56.36214065551758,56.78353881835938,40.0920524597168,78000.0,AIG
1985-01-02,1.375,1.375,1.375,1.375,1.375,3100.0,AIM
1985-01-02,5.481481552124023,5.481481552124023,5.333333492279053,5.407407283782959,2.639464855194092,69700.0,AIR
1985-01-02,1.6666666269302368,1.6666666269302368,1.6666666269302368,1.6666666269302368,0.9615787267684937,0.0,AIRT
1985-01-02,2.9410150051116943,2.9410150051116943,2.9410150051116943,2.9410150051116943,0.2604084312915802,150000.0,AIT
1985-01-02,3.71875,3.8125,3.71875,3.71875,0.37527450919151306,4800.0,AJG
1985-01-02,5.78843879699707,5.830689907073975,5.682810306549072,5.682810306549072,2.7210988998413086,396900.0,AJRD
1985-01-02,12.75,14.25,12.75,12.75,7.075018882751465,3200.0,ALCO
1985-01-02,22.03125,22.3125,21.9375,22.21875,4.411980628967285,13300.0,ALE
1985-01-02,3.78125,3.78125,3.6875,3.71875,2.486226797103882,236400.0,ALK
1985-01-02,2.0606060028076167,2.1010100841522217,2.0202019214630127,2.0202019214630127,0.9134593009948729,3200.0,ALOT
1985-01-02,20.5,20.625,20.375,20.625,10.070428848266602,4900.0,ALX
